p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
4.49241338449883e-60,0.251775224766305,0.769,0.635,8.98482676899765e-57,4,TUBB2A
2.52781259203087e-59,0.411399763260686,0.737,0.648,5.05562518406173e-56,4,CCND2
7.65357957839351e-58,0.544750728883693,0.587,0.508,1.5307159156787e-54,4,MAD2L1
6.62946463099108e-55,0.395582033599721,0.526,0.32,1.32589292619822e-51,4,FAM64A
3.5337955120188e-54,0.906992435271216,0.526,0.346,7.0675910240376e-51,4,HIST1H4C
1.48910642875089e-53,0.333889018239748,0.555,0.437,2.97821285750178e-50,4,MXD3
7.5973668071016e-51,0.254216243272678,0.58,0.495,1.51947336142032e-47,4,DBF4
4.69010713268526e-48,0.352520026081739,0.536,0.405,9.38021426537051e-45,4,SPAG5
9.63005650194199e-41,0.516496819268667,0.504,0.339,1.9260113003884e-37,4,FANCI
3.92741915740865e-39,0.253124742169746,0.299,0.207,7.85483831481731e-36,4,E2F2
1.20042962889441e-37,0.411956702512861,0.512,0.362,2.40085925778882e-34,4,CENPW
4.16187950602404e-37,0.306031983942741,0.574,0.411,8.32375901204807e-34,4,TUBB4B
4.67952848909976e-37,0.275139404167937,0.513,0.389,9.35905697819952e-34,4,RTKN2
2.39486081652616e-36,0.622171682521433,0.556,0.494,4.78972163305232e-33,4,FOXM1
1.39216182621967e-33,0.401194723201883,0.491,0.313,2.78432365243933e-30,4,MKI67
1.17881672403972e-32,0.276815738742128,0.492,0.334,2.35763344807944e-29,4,CCNE2
5.70253869850656e-32,0.60573513643079,0.486,0.322,1.14050773970131e-28,4,CENPU
2.16988072990106e-31,0.306767838243667,0.48,0.321,4.33976145980212e-28,4,FBXO5
2.4605083125179e-31,0.26944856746337,0.614,0.574,4.92101662503579e-28,4,OLIG2
1.64890082103401e-28,0.27956814375636,0.518,0.407,3.29780164206802e-25,4,SHCBP1
7.04752324657128e-25,0.446076097531051,0.493,0.372,1.40950464931426e-21,4,LMNB1
